iter	Passed	Remaining
537	2537	274538	271	232
539	272	231
540	272	231
541	273	230
542	273	230
543	274	229
544	274	229
545	275	228
546	275	228
547	276	227
548	276	227
549	277	226
550	277	226
551	278	225
552	278	225
553	279	224
554	279	224
555	280	223
556	280	223
557	280	222
558	281	222
559	281	221
560	282	220
561	282	220
562	283	219
563	283	219
564	284	218
565	284	218
566	285	217
567	285	217
568	286	216
569	286	216
570	287	215
571	287	215
572	287	214
573	288	214
574	288	213
575	289	213
576	289	212
577	290	212
578	290	211
579	291	210
580	291	210
581	292	209
582	292	209
583	293	208
584	293	208
585	294	207
586	294	207
587	294	206
588	295	206
589	295	205
590	296	205
591	296	204
592	297	203
593	297	203
594	298	202
595	298	202
596	299	201
597	299	201
598	300	200
599	300	200
600	301	199
601	301	199
602	301	198
603	302	198
604	302	197
605	303	197
606	303	196
607	304	196
608	304	195
609	305	195
610	305	194
611	306	194
612	306	193
613	307	193
614	307	192
615	308	192
616	308	191
617	309	191
618	309	190
619	309	189
620	310	189
621	310	188
622	311	188
623	311	187
624	312	187
625	312	186
626	313	186
627	313	185
628	314	185
629	314	184
630	315	184
631	315	183
632	316	183
633	316	182
634	317	182
635	317	181
636	317	181
637	318	180
638	318	180
639	319	179
640	319	179
641	320	178
642	320	178
643	321	177
644	321	177
645	322	176
646	322	176
647	323	175
648	323	175
649	324	174
650	324	173
651	325	173
652	325	172
653	325	172
654	326	171
655	326	171
656	327	170
657	327	170
658	328	169
659	328	169
660	329	168
661	329	168
662	330	167
663	330	167
664	3664	333665	3665	334666	332	165
667	3667	335668	3668	335669	3669	336670	333	163
671	3671	336672	334	162
673	335	162
674	335	161
675	336	161
676	336	160
677	337	160
678	337	159
679	338	159
680	338	158
681	339	158
682	339	157
683	340	157
684	340	156
685	3685	343686	341	155
687	3687	344688	3688	344689	342	154
690	3690	345691	3691	346692	3692	346693	3693	347694	345	151
695	3695	348696	3696	348697	3697	349698	3698	349699	3699	350700	348	148
701	3701	351702	3702	351703	3703	352704	3704	352705	3705	353706	3706	353707	3707	354708	3708	354709	3709	355710	3710	355711	3711	356712	3712	356713	3713	357714	354	141
715	355	140
716	355	140
717	356	139
718	356	139
719	357	138
720	357	138
721	358	137
722	358	137
723	359	136
724	359	136
